FLUXO DE DESEMBOLSOS JOAQUIM LEME POR MÊS E POR ETAPA;VALOR TOTAL MENSAL;TOPOGRAFIA e CONTROLE;MANUTENÇÕES / AS BUILTS;DRENAGEM;REDE DE ÁGUA POTÁVEL;RESERVATÓRIO / ADUTORA;SISTEMA DE ESGOTO SANITÁRIO;ESTAÇÃO ELEVATÓRIA DE ESGOTO;GUIAS E SARJETAS;PAVIMENTAÇÃO TOTAL;ELETRIFICAÇÃO;MEIO AMBIENTE;OBRA DE ACESSO ;TOPOGRAFIA DE ENTREGA;INDIRETO DE OBRAS;
jan/25;R$ 37.084,00; R$ -   ;R$ 7,00;R$ 4.000,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 1.000,00;R$ 23.077,00;R$ 1.000,00;R$ 8.000,00;
fev/25;R$ 142.367,18;R$ 1.300,00;R$ 3.044,00; R$ -   ;R$ 27.280,00;R$ 3.300,00;R$ 19.485,28;R$ 5.704,00; R$ -   ; R$ -   ; R$ -   ;R$ 1.000,00;R$ 57.638,90;R$ 19.615,00;R$ 4.000,00;
mar/25;R$ 113.630,03;R$ 5.912,50;R$ 41.940,00; R$ -   ;R$ 6.400,00; R$ -   ;R$ 28.221,62;R$ 660,00; R$ -   ; R$ -   ; R$ -   ;R$ 1.000,00;R$ 1.070,00;R$ 13.701,90;R$ 14.724,01;
abr/25;R$ 189.413,46;R$ 6.500,00;R$ 9.817,07; R$ -   ;R$ 32.406,92;R$ 3.763,36;R$ 42.160,23;R$ 28.048,17; R$ -   ; R$ -   ; R$ -   ;R$ 54.019,23;R$ 568,24;R$ 3.250,00;R$ 8.880,24;
mai/25;R$ 78.009,31;R$ 6.000,00;R$ 6.556,00; R$ -   ;R$ 18.600,90;R$ 1.640,00; R$ -   ;R$ 1.445,00;R$ 31.000,00; R$ -   ; R$ -   ;R$ 1.000,00;R$ 3.106,97; R$ -   ;R$ 8.660,44;
jun/25;R$ 87.415,54;R$ 2.800,00;R$ 121,00; R$ -   ;R$ 40.592,00;R$ 249,60;R$ 20.050,00;R$ 8.685,00;R$ 9.895,01; R$ -   ; R$ -   ; R$ -   ;R$ 506,66; R$ -   ;R$ 4.516,27;
jul/25;R$ 112.178,34;R$ 2.600,00;R$ 13.770,65; R$ -   ;R$ 550,00;R$ 10.955,01;R$ 22.478,55;R$ 272,00;R$ 14.010,54; R$ -   ; R$ -   ;R$ 2.000,00;R$ 23.294,12; R$ -   ;R$ 22.247,47;
ago/25;R$ 215.157,58; R$ -   ;R$ 11.797,03; R$ -   ; R$ -   ;R$ 32.921,20;R$ 1.800,00;R$ 14.181,20;R$ 16.264,84;R$ 50.000,00;R$ 59.502,00;R$ 17.000,00;R$ 2.680,48; R$ -   ;R$ 9.010,83;
set/25;R$ 477.826,92; R$ -   ;R$ 11.075,00; R$ -   ;R$ 13.287,50;R$ 1.970,75;R$ 114.636,46;R$ 1.146,25;R$ 17.025,75;R$ 46.822,80;R$ 257.047,11;R$ 1.000,00;R$ 1.240,89; R$ -   ;R$ 12.574,41;
out/25;R$ 531.462,68;R$ 3.500,00;R$ 8.335,00; R$ -   ;R$ 7.750,72;R$ 78.799,40;R$ 116.225,99;R$ 76.437,27;R$ 24.511,34;R$ 52.611,39;R$ 145.482,07;R$ 7.640,21;R$ 2.940,00; R$ -   ;R$ 7.229,29;
nov/25;R$ 523.135,70;R$ 1.600,00;R$ 3.218,70; R$ -   ;R$ 19.915,00;R$ 45.519,42;R$ 105.668,47;R$ 14.625,40;R$ 7.031,60;R$ 35.088,18;R$ 187.180,59;R$ 69.989,14;R$ 15.311,43;R$ 6.649,50;R$ 11.338,27;
dez/25;R$ 1.012.575,62;R$ 4.845,22; R$ -   ;R$ 83.924,06;R$ 61.233,08;R$ 2.505,54;R$ 31.026,44;R$ 9.200,00;R$ 39.809,00;R$ 173.496,67;R$ 397.987,99;R$ 186.340,53;R$ 18.002,84;R$ 92,00;R$ 4.112,25;
jan/26;R$ 353.551,33; R$ -   ; R$ -   ;R$ 2.402,62;R$ 9.053,03;R$ 460,00;R$ 4.586,49;R$ 1.275,00;R$ 8.687,30;R$ 63.964,18;R$ 178.446,23;R$ 71.236,58;R$ 810,00; R$ -   ;R$ 12.629,90;
fev/26;R$ 286.552,35; R$ -   ; R$ -   ; R$ -   ;-R$ 1.137,39;-R$ 795,83;R$ 20.485,51; R$ -   ; R$ -   ;R$ 73.734,20;R$ 105.785,75;R$ 72.656,68;R$ 2.008,93; R$ -   ;R$ 13.814,50;
mar/26;R$ 165.518,18; R$ -   ; R$ -   ;R$ 2.000,00;R$ 2.050,00; R$ -   ; R$ -   ; R$ -   ;R$ 975,73;R$ 774,00; R$ -   ;R$ 145.300,00;R$ 2.000,45; R$ -   ;R$ 12.418,00;
abr/26;R$ 90.625,33;R$ 600,00;R$ 9.823,00; R$ -   ;R$ 17.070,00; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 46.712,53; R$ -   ;R$ 700,00;R$ 2.840,00; R$ -   ;R$ 12.879,80;
mai/26;R$ 305.676,00; R$ -   ;R$ 80,67; R$ -   ;R$ 10.446,15;R$ 23.368,40;R$ 4.239,00; R$ -   ; R$ -   ; R$ -   ;R$ 250.000,00; R$ -   ;R$ 1.817,91; R$ -   ;R$ 15.723,87;
jun/26;R$ 400.779,98;R$ 600,00;R$ 41.412,50; R$ -   ; R$ -   ;R$ 16.301,23;R$ 3.775,00;R$ 2.876,44;R$ 3.316,73; R$ -   ;R$ 282.000,00; R$ -   ;R$ 38.020,67; R$ -   ;R$ 12.477,41;
jul/26;R$ 944.007,20; R$ -   ;R$ 16.031,49; R$ -   ;R$ 15.000,00;R$ 38.500,00;R$ 132.011,54;R$ 14.000,00;R$ 88.434,97; R$ -   ;R$ 282.000,00;R$ 144.300,00;R$ 183.126,96;R$ 15.000,00;R$ 15.602,25;
ago/26;R$ 713.709,42; R$ -   ;R$ 10.131,49; R$ -   ; R$ -   ; R$ -   ;R$ 51.027,43; R$ -   ;R$ 61.158,34;R$ 26.196,92;R$ 282.000,00; R$ -   ;R$ 275.093,01; R$ -   ;R$ 8.102,25;
set/26;R$ 490.733,11; R$ -   ;R$ 4.131,49; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 26.196,92;R$ 282.000,00; R$ -   ;R$ 170.302,46; R$ -   ;R$ 8.102,25;
out/26;R$ 437.770,69; R$ -   ;R$ 4.131,49; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 282.000,00; R$ -   ;R$ 143.536,96; R$ -   ;R$ 8.102,25;
nov/26;R$ 19.123,74; R$ -   ;R$ 4.131,49; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 6.890,00; R$ -   ;R$ 8.102,25;
dez/26;R$ 12.233,74; R$ -   ;R$ 4.131,49; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;R$ 8.102,25;
TOTAL;R$ 7.975.419,93;R$ 37.257,72;R$ 196.972,82;R$ 134.826,68;R$ 269.217,91;R$ 230.858,08;R$ 534.839,04;R$ 171.635,73;R$ 172.527,84;R$ 543.203,95;R$ 1.863.431,74;R$ 645.422,37;R$ 246.423,89;R$ 91.808,40;R$ 219.415,86;
;;;;;;;;;;;;;;;;
